date,home_team,away_team,home_score,away_score,tournament,country,neutral
1955-08-25,Iceland,United States,3,2,Friendly,Iceland,False
1955-08-26,Curaçao,El Salvador,3,0,CCCF Championship,Honduras,True
1955-08-28,Honduras,Costa Rica,1,2,CCCF Championship,Honduras,False
1955-08-28,Curaçao,Cuba,2,0,CCCF Championship,Honduras,True
1955-08-28,Sweden,Finland,3,0,Nordic Championship,Sweden,False
1955-09-03,Australia,South Africa,0,3,Friendly,Australia,False
1955-09-10,Australia,South Africa,0,2,Friendly,Australia,False
1955-09-11,Norway,Denmark,1,1,Nordic Championship,Norway,False
1955-09-11,Finland,Poland,1,3,Friendly,Finland,False
1955-09-16,Soviet Union,India,11,1,Friendly,Soviet Union,False
1955-09-17,Australia,South Africa,0,8,Friendly,Australia,False
1955-09-17,Switzerland,Hungary,4,5,International Cup,Switzerland,False
1955-09-18,Brazil,Chile,1,1,O'Higgins Cup,Brazil,False
1955-09-18,Romania,East Germany,2,3,Friendly,Romania,False
1955-09-20,Brazil,Chile,2,1,O'Higgins Cup,Brazil,False
1955-09-24,Australia,South Africa,0,6,Friendly,Australia,False
1955-09-25,Hungary,Soviet Union,1,1,Friendly,Hungary,False
1955-09-25,Czechoslovakia,Belgium,5,2,Friendly,Czechoslovakia,False
1955-09-25,Yugoslavia,West Germany,3,1,Friendly,Yugoslavia,False
1955-09-25,Sweden,Norway,1,1,Nordic Championship,Sweden,False
1955-09-28,Romania,Belgium,1,0,Friendly,Romania,False
1955-10-01,Australia,South Africa,1,4,Friendly,Australia,False
1955-10-02,Denmark,England,1,5,Friendly,Denmark,False
1955-10-02,Czechoslovakia,Hungary,1,3,International Cup,Czechoslovakia,False
1955-10-08,Northern Ireland,Scotland,2,1,British Championship,Northern Ireland,False
1955-10-09,Japan,Burma,0,0,Friendly,Japan,False
1955-10-09,Switzerland,France,1,2,Friendly,Switzerland,False
1955-10-09,Romania,Bulgaria,1,1,Friendly,Romania,False
1955-10-11,Uganda,Kenya,1,0,Gossage Cup,Tanganyika,True
1955-10-14,Kenya,Zanzibar,8,0,Gossage Cup,Tanganyika,True
1955-10-15,Tanganyika,Uganda,1,5,Gossage Cup,Tanganyika,False
1955-10-16,Hungary,Austria,6,1,International Cup,Hungary,False
1955-10-16,Netherlands,Belgium,2,2,Friendly,Netherlands,False
1955-10-16,Denmark,Sweden,3,3,Nordic Championship,Denmark,False
1955-10-19,Ireland,Yugoslavia,1,4,Friendly,Ireland,False
1955-10-22,Wales,England,2,1,British Championship,Wales,False
1955-10-23,Soviet Union,France,2,2,Friendly,Soviet Union,False
1955-10-30,Austria,Yugoslavia,2,1,International Cup,Austria,False
1955-11-02,England,Northern Ireland,3,0,British Championship,England,False
1955-11-06,Netherlands,Norway,3,0,Friendly,Netherlands,False
1955-11-09,Scotland,Wales,2,0,British Championship,Scotland,False
1955-11-11,France,Yugoslavia,1,1,Friendly,France,False
1955-11-13,Brazil,Paraguay,3,0,Osvaldo Cruz Cup,Brazil,False
1955-11-13,Hungary,Sweden,4,2,Friendly,Hungary,False
1955-11-13,Bulgaria,Czechoslovakia,3,0,Friendly,Bulgaria,False
1955-11-16,Saar,Netherlands,1,2,Friendly,Saar,False
1955-11-16,West Germany,Norway,2,0,Friendly,West Germany,False
1955-11-17,Brazil,Paraguay,3,3,Osvaldo Cruz Cup,Brazil,False
1955-11-20,Portugal,Sweden,2,6,Friendly,Portugal,False
1955-11-20,East Germany,Bulgaria,1,0,Friendly,East Germany,False
1955-11-23,Wales,Austria,1,2,Friendly,Wales,False
1955-11-27,Hungary,Italy,2,0,International Cup,Hungary,False
1955-11-27,Ireland,Spain,2,2,Friendly,Ireland,False
1955-11-30,Gold Coast,Nigeria,7,0,Jalco Cup,Gold Coast,False
1955-11-30,England,Spain,4,1,Friendly,England,False
1955-12-03,Sierra Leone,Ghana,1,2,Friendly,Sierra Leone,False
1955-12-14,Suriname,Trinidad and Tobago,5,2,Friendly,Suriname,False
1955-12-16,Suriname,Trinidad and Tobago,3,1,Friendly,Suriname,False
1955-12-17,Pakistan,Burma,4,2,Colombo Cup,Pakistan,False
1955-12-18,India,Ceylon,4,3,Colombo Cup,Pakistan,True
1955-12-18,Suriname,Trinidad and Tobago,3,0,Friendly,Suriname,False
1955-12-18,Italy,West Germany,2,1,Friendly,Italy,False
1955-12-18,Turkey,Portugal,3,1,Friendly,Turkey,False
1955-12-20,India,Burma,5,2,Colombo Cup,Pakistan,True
1955-12-21,Pakistan,Ceylon,2,1,Colombo Cup,Pakistan,False
1955-12-23,Burma,Ceylon,3,1,Colombo Cup,Pakistan,True
1955-12-23,Egypt,Portugal,0,4,Friendly,Egypt,False
1955-12-24,Pakistan,India,1,2,Colombo Cup,Pakistan,False
1955-12-25,Pakistan,India,1,0,Friendly,Pakistan,False
1955-12-25,Belgium,France,2,1,Friendly,Belgium,False
1955-12-31,Burma,Yugoslavia,0,9,Friendly,Burma,False
1955-12-31,Cameroon,French Togoland,1,3,Friendly,Cameroon,False
1955-12-31,French Togoland,French Sudan,2,1,Friendly tournament,Ivory Coast,True
1956-01-02,Belgian Congo,Cameroon,2,4,Friendly,Belgian Congo,False
1956-01-03,Burma,Yugoslavia,0,9,Friendly,Burma,False
1956-01-13,Curaçao,Martinique,3,1,Friendly,Curaçao,False
1956-01-15,Indonesia,Yugoslavia,2,7,Friendly,Indonesia,False
1956-01-21,Uruguay,Paraguay,4,2,South American Champ,Uruguay,False
1956-01-22,Argentina,Peru,2,1,South American Champ,Uruguay,True
1956-01-24,Chile,Brazil,4,1,South American Champ,Uruguay,True
1956-01-28,Uruguay,Peru,2,0,South American Champ,Uruguay,False
1956-01-29,Ethiopia,Egypt,1,4,Olympic Games qualifier,Ethiopia,False
1956-01-29,Argentina,Chile,2,0,South American Champ,Uruguay,True
1956-01-29,Brazil,Paraguay,0,0,South American Champ,Uruguay,True
1956-02-01,Argentina,Paraguay,1,0,South American Champ,Uruguay,True
1956-02-01,Brazil,Peru,2,1,South American Champ,Uruguay,True
1956-02-05,Brazil,Argentina,1,0,South American Champ,Uruguay,True
1956-02-05,Paraguay,Peru,1,1,South American Champ,Uruguay,True
1956-02-06,Uruguay,Chile,2,1,South American Champ,Uruguay,False
1956-02-09,Chile,Peru,4,3,South American Champ,Uruguay,True
1956-02-10,Uruguay,Brazil,0,0,South American Champ,Uruguay,False
1956-02-12,Chile,Paraguay,2,0,South American Champ,Uruguay,True
1956-02-15,Uruguay,Argentina,1,0,South American Champ,Uruguay,False
1956-02-15,Italy,France,2,0,Friendly,Italy,False
1956-02-19,Turkey,Hungary,3,1,Friendly,Turkey,False
1956-02-25,Philippines,South Korea,0,2,Asian Cup qualifier,Philippines,False
1956-02-26,Mexico,Costa Rica,1,1,Panamerican Championship,Mexico,False
1956-02-28,Argentina,Peru,0,0,Panamerican Championship,Mexico,True
1956-02-29,Lebanon,Hungary,1,4,Friendly,Lebanon,False
1956-03-01,Brazil,Chile,2,1,Panamerican Championship,Mexico,True
1956-03-02,Lebanon,Hungary,0,6,Friendly,Lebanon,False
1956-03-04,Mexico,Peru,0,2,Panamerican Championship,Mexico,False
1956-03-06,Argentina,Costa Rica,4,3,Panamerican Championship,Mexico,True
1956-03-06,Brazil,Peru,1,0,Panamerican Championship,Mexico,True
1956-03-07,Haiti,Panama,3,2,Friendly tournament,Haiti,False
1956-03-07,West Germany,Saar,4,1,Friendly,West Germany,False
1956-03-08,Costa Rica,Chile,2,1,Panamerican Championship,Mexico,True
1956-03-08,Mexico,Brazil,1,2,Panamerican Championship,Mexico,False
1956-03-09,Venezuela,Panama,1,0,Friendly tournament,Haiti,True
1956-03-10,Haiti,Venezuela,1,1,Friendly tournament,Haiti,False
1956-03-11,Argentina,Chile,3,0,Panamerican Championship,Mexico,True
1956-03-11,Belgium,Switzerland,1,3,Friendly,Belgium,False
1956-03-12,Singapore,Pakistan,1,1,Friendly,Singapore,False
1956-03-12,Haiti,Panama,2,1,Friendly tournament,Haiti,False
1956-03-13,Brazil,Costa Rica,7,1,Panamerican Championship,Mexico,True
1956-03-13,Mexico,Argentina,0,0,Panamerican Championship,Mexico,False
1956-03-14,Venezuela,Panama,4,2,Friendly tournament,Haiti,True
1956-03-14,West Germany,Netherlands,1,2,Friendly,West Germany,False
1956-03-15,Chile,Peru,2,2,Panamerican Championship,Mexico,True
1956-03-16,Haiti,Venezuela,3,0,Friendly tournament,Haiti,False
1956-03-17,Malaya,Cambodia,9,2,Asian Cup qualifier,Malaya,False
1956-03-17,Costa Rica,Peru,4,2,Panamerican Championship,Mexico,True
1956-03-17,Mexico,Chile,2,1,Panamerican Championship,Mexico,False
1956-03-18,Argentina,Brazil,2,2,Panamerican Championship,Mexico,True
1956-03-25,France,Austria,3,1,Friendly,France,False
1956-03-25,Portugal,Turkey,3,1,Friendly,Portugal,False
1956-03-31,Curaçao,Guadeloupe,2,1,Friendly,Martinique,True
1956-04-01,Martinique,Curaçao,0,1,Friendly,Martinique,False
1956-04-08,Portugal,Brazil,0,1,Friendly,Portugal,False
1956-04-08,Belgium,Netherlands,0,1,Friendly,Belgium,False
1956-04-11,Switzerland,Brazil,1,1,Friendly,Switzerland,False
1956-04-11,Wales,Northern Ireland,1,1,British Championship,Wales,False
1956-04-14,Scotland,England,1,1,British Championship,Scotland,False
1956-04-15,Austria,Brazil,2,3,Friendly,Austria,False
1956-04-21,South Korea,Philippines,3,0,Asian Cup qualifier,South Korea,False
1956-04-21,Czechoslovakia,Brazil,0,0,Friendly,Czechoslovakia,False
1956-04-22,Yugoslavia,Romania,0,1,Friendly,Yugoslavia,False
1956-04-24,Cambodia,Malaya,3,2,Asian Cup qualifier,Cambodia,False
1956-04-24,Martinique,Guadeloupe,3,0,Friendly,Martinique,False
1956-04-25,Italy,Brazil,3,0,Friendly,Italy,False
1956-04-27,Egypt,Ethiopia,5,2,Olympic Games qualifier,Egypt,False
1956-04-29,Hungary,Yugoslavia,2,2,International Cup,Hungary,False
1956-05-01,Turkey,Brazil,0,1,Friendly,Turkey,False
1956-05-01,Saar,Switzerland,1,1,Friendly,Saar,False
1956-05-02,Scotland,Austria,1,1,Friendly,Scotland,False
1956-05-03,South Vietnam,Malaya,4,0,Asian Cup qualifier,South Vietnam,False
1956-05-09,England,Brazil,4,2,Friendly,England,False
1956-05-10,Switzerland,Czechoslovakia,1,6,International Cup,Switzerland,False
1956-05-10,Netherlands,Ireland,1,4,Friendly,Netherlands,False
1956-05-13,Sudan,Ethiopia,5,1,Friendly,Sudan,False
1956-05-16,Sweden,England,0,0,Friendly,Sweden,False
1956-05-20,Guadeloupe,Martinique,2,2,Friendly,Guadeloupe,False
1956-05-20,Finland,England,1,5,Friendly,Finland,False
1956-05-20,Hungary,Czechoslovakia,2,4,International Cup,Hungary,False
1956-05-23,Soviet Union,Denmark,5,1,Friendly,Soviet Union,False
1956-05-24,Malaya,South Vietnam,3,3,Asian Cup qualifier,Malaya,False
1956-05-25,West Germany,England,1,3,Friendly,West Germany,False
1956-05-30,Norway,Poland,0,0,Friendly,Norway,False
1956-06-03,Japan,South Korea,2,0,Olympic Games qualifier,Japan,False
1956-06-03,South Vietnam,Cambodia,5,2,Olympic Games qualifier,South Vietnam,False
1956-06-03,Belgium,Hungary,5,4,Friendly,Belgium,False
1956-06-03,Portugal,Spain,3,1,Friendly,Portugal,False
1956-06-06,Netherlands,Saar,3,2,Friendly,Netherlands,False
1956-06-09,Portugal,Hungary,2,2,Friendly,Portugal,False
1956-06-10,Japan,South Korea,0,2,Olympic Games qualifier,Japan,False
1956-06-10,Cambodia,South Vietnam,3,4,Olympic Games qualifier,Cambodia,False
1956-06-10,Finland,Sweden,1,3,Nordic Championship,Finland,False
1956-06-12,Paraguay,Brazil,0,2,Osvaldo Cruz Cup,Paraguay,False
1956-06-13,Norway,West Germany,1,3,Friendly,Norway,False
1956-06-17,India,China,0,1,Friendly,India,False
1956-06-17,Paraguay,Brazil,2,5,Osvaldo Cruz Cup,Paraguay,False
1956-06-17,Yugoslavia,Austria,1,1,International Cup,Yugoslavia,False
1956-06-17,Romania,Sweden,0,2,Friendly,Romania,False
1956-06-24,Brazil,Uruguay,2,0,Atlantic Cup,Brazil,False
1956-06-24,Argentina,Italy,1,0,Friendly,Argentina,False
1956-06-24,Denmark,Norway,2,3,Nordic Championship,Denmark,False
1956-06-25,Burma,China,2,3,Friendly,Burma,False
1956-06-28,Romania,Norway,2,0,Friendly,Romania,False
1956-06-29,Finland,Iceland,2,1,Friendly,Finland,False
1956-06-30,Mauritius,Reunion,8,3,Triangulaire,Madagascar,True
1956-06-30,Sweden,West Germany,2,2,Friendly,Sweden,False
1956-07-01,Uruguay,Argentina,1,2,Atlantic Cup,Uruguay,False
1956-07-01,Brazil,Italy,2,0,Friendly,Brazil,False
1956-07-01,Denmark,Soviet Union,2,5,Friendly,Denmark,False
1956-07-05,Madagascar,Reunion,4,2,Triangulaire,Madagascar,False
1956-07-08,Madagascar,Mauritius,3,3,Triangulaire,Madagascar,False
1956-07-08,Argentina,Brazil,0,0,Atlantic Cup,Argentina,False
1956-07-11,Soviet Union,Israel,5,0,Olympic Games qualifier,Soviet Union,False
1956-07-15,Paraguay,Uruguay,2,2,Friendly,Paraguay,False
1956-07-15,Hungary,Poland,4,1,Friendly,Hungary,False
1956-07-22,Poland,East Germany,0,2,Friendly,Poland,False
1956-07-31,Israel,Soviet Union,1,2,Olympic Games qualifier,Israel,False
1956-08-05,Brazil,Czechoslovakia,0,1,Friendly,Brazil,False
1956-08-08,Brazil,Czechoslovakia,4,1,Friendly,Brazil,False
1956-08-09,Yugoslavia,China,4,0,Friendly,Yugoslavia,False
1956-08-12,Uruguay,Czechoslovakia,2,1,Friendly,Uruguay,False
1956-08-15,Paraguay,Argentina,0,1,Rosa Chevallier Boutell Cup,Paraguay,False
1956-08-19,Argentina,Czechoslovakia,1,0,Friendly,Argentina,False
1956-08-26,South Korea,Taiwan,2,0,Asian Cup qualifier,South Korea,False
1956-08-26,Chile,Czechoslovakia,3,0,Friendly,Chile,False
1956-08-26,Norway,Finland,1,1,Nordic Championship,Norway,False
1956-08-26,Poland,Bulgaria,1,2,Friendly,Poland,False
1956-09-01,Hong Kong,Israel,2,3,Asian Cup,Hong Kong,False
1956-09-02,Taiwan,South Korea,1,2,Asian Cup qualifier,Taiwan,False
1956-09-06,Hong Kong,South Korea,2,2,Asian Cup,Hong Kong,False
1956-09-08,South Korea,Israel,2,1,Asian Cup,Hong Kong,True
1956-09-09,Yugoslavia,Indonesia,4,2,Friendly,Yugoslavia,False
1956-09-09,Hong Kong,South Vietnam,2,2,Asian Cup,Hong Kong,False
1956-09-10,Bulgaria,Romania,2,0,Friendly,Bulgaria,False
1956-09-12,Croatia,Indonesia,5,2,Friendly,Croatia,False
1956-09-12,Israel,South Vietnam,2,1,Asian Cup,Hong Kong,True
1956-09-15,South Korea,South Vietnam,5,3,Asian Cup,Hong Kong,True
1956-09-15,Switzerland,Netherlands,2,3,Friendly,Switzerland,False
1956-09-15,West Germany,Soviet Union,1,2,Friendly,West Germany,False
1956-09-16,Yugoslavia,Hungary,1,3,International Cup,Yugoslavia,False
1956-09-16,Norway,Sweden,3,1,Nordic Championship,Norway,False
1956-09-16,Finland,Denmark,0,4,Nordic Championship,Finland,False
1956-09-20,East Germany,Indonesia,3,1,Friendly,East Germany,False
1956-09-23,Soviet Union,Hungary,0,1,Friendly,Soviet Union,False
1956-09-25,British Guiana,Suriname,1,1,Friendly,British Guiana,False
1956-09-26,Czechoslovakia,Indonesia,5,1,Friendly,Czechoslovakia,False
1956-09-28,British Guiana,Suriname,2,1,Friendly,British Guiana,False
1956-09-30,Austria,Luxembourg,7,0,World Cup qualifier,Austria,False
1956-09-30,Yugoslavia,Czechoslovakia,1,2,International Cup,Yugoslavia,False
1956-10-01,British Guiana,Suriname,1,2,Friendly,British Guiana,False
1956-10-03,Ireland,Denmark,2,1,World Cup qualifier,Ireland,False
1956-10-04,China,North Vietnam,5,3,Friendly tournament,China,False
1956-10-06,Nigeria,French Togoland,1,1,Friendly,Nigeria,False
1956-10-06,Northern Ireland,England,1,1,British Championship,Northern Ireland,False
1956-10-07,China,North Korea,0,1,Friendly tournament,China,False
1956-10-07,France,Hungary,1,2,Friendly,France,False
1956-10-10,North Korea,North Vietnam,3,0,Friendly tournament,China,True
1956-10-10,Uruguay,Argentina,1,2,Friendly,Uruguay,False
1956-10-14,Austria,Hungary,0,2,Friendly,Austria,False
1956-10-14,Belgium,Netherlands,2,3,Friendly,Belgium,False
1956-10-14,Bulgaria,East Germany,3,1,Friendly,Bulgaria,False
1956-10-20,French Togoland,Gold Coast,1,1,Friendly,French Togoland,False
1956-10-20,Wales,Scotland,2,2,British Championship,Wales,False
1956-10-21,France,Soviet Union,2,1,Friendly,France,False
1956-10-21,Sweden,Denmark,1,1,Nordic Championship,Sweden,False
1956-10-27,Nigeria,Gold Coast,3,0,Jalco Cup,Nigeria,False
1956-10-28,Poland,Norway,5,3,Friendly,Poland,False
1956-10-31,South Korea,United States,1,0,Friendly,South Korea,False
1956-11-02,Albania,China,5,1,Friendly,Albania,False
1956-11-04,Denmark,Netherlands,2,2,Friendly,Denmark,False
1956-11-04,Poland,Finland,5,0,Friendly,Poland,False
1956-11-07,Scotland,Northern Ireland,1,0,British Championship,Scotland,False
1956-11-10,Philippines,United States,0,4,Friendly,Philippines,False
1956-11-10,Sierra Leone,Gambia,1,0,Friendly,Sierra Leone,False
1956-11-11,France,Belgium,6,3,World Cup qualifier,France,False
1956-11-11,Switzerland,Italy,1,1,International Cup,Switzerland,False
1956-11-14,Argentina,Uruguay,2,2,Friendly,Argentina,False
1956-11-14,England,Wales,3,1,British Championship,England,False
1956-11-15,Australia,Soviet Union,1,15,Friendly,Australia,False
1956-11-16,Indonesia,United States,7,5,Friendly,Indonesia,False
1956-11-16,Ethiopia,Sudan,2,1,Friendly,Ethiopia,False
1956-11-16,Turkey,Poland,1,1,Friendly,Turkey,False
1956-11-20,Yugoslavia,Japan,7,2,Friendly,Australia,True
1956-11-20,Australia,India,3,1,Friendly,Australia,False
1956-11-21,Scotland,Yugoslavia,2,0,Friendly,Scotland,False
1956-11-21,West Germany,Switzerland,1,3,Friendly,West Germany,False
1956-11-23,Australia,Yugoslavia,1,5,Friendly,Australia,False
1956-11-25,Ireland,West Germany,3,0,Friendly,Ireland,False
1956-11-25,Czechoslovakia,Turkey,1,1,Friendly,Czechoslovakia,False
1956-11-27,Australia,Japan,2,0,Olympic Games,Australia,False
1956-11-27,Kenya,Tanganyika,9,0,Gossage Cup,Uganda,True
1956-11-28,Uganda,Zanzibar,5,2,Gossage Cup,Uganda,False
1956-11-28,Yugoslavia,United States,9,1,Olympic Games,Australia,True
1956-11-28,England,Yugoslavia,3,0,Friendly,England,False
1956-11-29,Indonesia,Soviet Union,0,0,Olympic Games,Australia,True
1956-11-30,Zanzibar,Tanganyika,3,2,Gossage Cup,Uganda,True
1956-11-30,Albania,China,4,1,Friendly,Albania,False
1956-12-01,Australia,India,2,4,Olympic Games,Australia,False
1956-12-01,Soviet Union,Indonesia,4,0,Olympic Games,Australia,True
1956-12-01,Uganda,Kenya,3,2,Gossage Cup,Uganda,False
1956-12-04,Yugoslavia,India,4,1,Olympic Games,Australia,True
1956-12-05,Brazil,Argentina,1,2,Friendly tournament,Brazil,False
1956-12-05,England,Denmark,5,2,World Cup qualifier,England,False
1956-12-05,Soviet Union,Bulgaria,2,1,Olympic Games,Australia,True
1956-12-07,Bulgaria,India,3,0,Olympic Games,Australia,True
1956-12-08,Soviet Union,Yugoslavia,1,0,Olympic Games,Australia,True
1956-12-09,Italy,Austria,2,1,International Cup,Italy,False
1956-12-12,Australia,India,1,7,Friendly,Australia,False
1956-12-13,Singapore,Bulgaria,2,10,Friendly,Singapore,False
1956-12-14,Haiti,Curaçao,2,1,Friendly tournament,Haiti,False
1956-12-16,Gold Coast,Sierra Leone,4,3,Friendly tournament,Gold Coast,False
1956-12-23,Indonesia,Yugoslavia,1,5,Friendly,Indonesia,False
1956-12-23,West Germany,Belgium,4,1,Friendly,West Germany,False
1956-12-29,India,Yugoslavia,0,3,Friendly,India,False
1956-12-31,Philippines,Japan,0,2,Southeast Asian Games,Philippines,False
1956-12-31,Philippines,Japan,0,3,Southeast Asian Games,Philippines,False
1956-12-31,South Vietnam,Thailand,2,1,Friendly,South Vietnam,False
1956-12-31,South Vietnam,Thailand,3,1,Friendly,South Vietnam,False
1956-12-31,Ubangi-Shari,Cameroon,5,1,Friendly,Ubangi-Shari,False
1957-01-16,Portugal,Northern Ireland,1,1,World Cup qualifier,Portugal,False
1957-01-21,Jamaica,Trinidad and Tobago,2,0,Friendly,Jamaica,False
1957-01-23,Burma,India,4,4,Friendly,Burma,False
1957-01-25,Burma,India,2,4,Friendly,Burma,False
1957-01-26,Jamaica,Trinidad and Tobago,1,0,Friendly,Jamaica,False
1957-01-28,Jamaica,Trinidad and Tobago,2,1,Friendly,Jamaica,False
1957-01-30,Spain,Netherlands,5,1,Friendly,Spain,False
1957-01-31,Hong Kong,India,1,1,Friendly,Hong Kong,False
1957-02-09,Singapore,India,2,3,Friendly,Singapore,False
1957-02-10,Sudan,Egypt,1,2,African Nations Cup,Sudan,False
1957-02-10,Guatemala,Costa Rica,2,6,World Cup qualifier,Guatemala,False
1957-02-15,Egypt,Ethiopia,4,0,African Nations Cup,Sudan,True
1957-02-16,Malaya,India,2,3,Friendly,Malaya,False
1957-02-17,Sudan,Egypt,3,4,Friendly,Sudan,False
1957-02-17,Costa Rica,Guatemala,3,1,World Cup qualifier,Costa Rica,False
1957-02-24,Malta,Austria,2,3,Friendly,Malta,False
1957-03-03,Costa Rica,Curaçao,4,0,World Cup qualifier,Costa Rica,False
1957-03-07,Uruguay,Ecuador,5,2,South American Champ,Peru,True
1957-03-08,Sudan,Syria,1,0,World Cup qualifier,Sudan,False
1957-03-10,Guatemala,Curaçao,1,3,World Cup qualifier,Guatemala,False
1957-03-10,Peru,Ecuador,2,1,South American Champ,Peru,False
1957-03-10,Austria,West Germany,2,3,Friendly,Austria,False
1957-03-10,Spain,Switzerland,2,2,World Cup qualifier,Spain,False
1957-03-10,East Germany,Luxembourg,3,0,Friendly,East Germany,False
1957-03-13,Argentina,Colombia,8,2,South American Champ,Peru,True
1957-03-13,Brazil,Chile,4,2,South American Champ,Peru,True
1957-03-16,Peru,Chile,1,0,South American Champ,Peru,False
1957-03-17,Colombia,Uruguay,1,0,South American Champ,Peru,True
1957-03-17,Argentina,Ecuador,3,0,South American Champ,Peru,True
1957-03-20,Argentina,Uruguay,4,0,South American Champ,Peru,True
1957-03-20,Netherlands,Luxembourg,4,1,World Cup qualifier,Netherlands,False
1957-03-21,Chile,Colombia,3,2,South American Champ,Peru,True
1957-03-21,Brazil,Ecuador,7,1,South American Champ,Peru,True
1957-03-23,Peru,Uruguay,3,5,South American Champ,Peru,False
1957-03-24,Chile,Ecuador,2,2,South American Champ,Peru,True
1957-03-24,Brazil,Colombia,9,0,South American Champ,Peru,True
1957-03-24,Portugal,France,0,1,Friendly,Portugal,False
1957-03-27,Peru,Colombia,4,1,South American Champ,Peru,False
1957-03-28,Uruguay,Brazil,3,2,South American Champ,Peru,True
1957-03-28,Argentina,Chile,6,2,South American Champ,Peru,True
1957-03-31,Peru,Brazil,0,1,South American Champ,Peru,False
1957-03-31,Belgium,Spain,0,5,Friendly,Belgium,False
1957-04-01,Uruguay,Chile,2,0,South American Champ,Peru,True
1957-04-01,Colombia,Ecuador,4,1,South American Champ,Peru,True
1957-04-03,Argentina,Brazil,3,0,South American Champ,Peru,True
1957-04-03,Netherlands,West Germany,1,2,Friendly,Netherlands,False
1957-04-05,Egypt,Turkey,0,4,Mediterranean Cup,Egypt,False
1957-04-06,Peru,Argentina,2,1,South American Champ,Peru,False
1957-04-06,England,Scotland,2,1,British Championship,England,False
1957-04-07,Mexico,United States,6,0,World Cup qualifier,Mexico,False
1957-04-09,Peru,Argentina,1,4,Friendly,Peru,False
1957-04-10,Northern Ireland,Wales,0,0,British Championship,Northern Ireland,False
1957-04-13,Peru,Brazil,1,1,World Cup qualifier,Peru,False
1957-04-14,Austria,Switzerland,4,0,International Cup,Austria,False
1957-04-17,Mauritius,Reunion,1,0,Friendly,Mauritius,False
1957-04-21,Brazil,Peru,1,0,World Cup qualifier,Brazil,False
1957-04-25,Italy,Northern Ireland,1,0,World Cup qualifier,Italy,False
1957-04-28,United States,Mexico,2,7,World Cup qualifier,United States,False
1957-04-28,Netherlands,Belgium,1,1,Friendly,Netherlands,False
1957-04-30,Martinique,Guadeloupe,6,1,Friendly,Martinique,False
1957-05-01,Wales,Czechoslovakia,1,0,World Cup qualifier,Wales,False
1957-05-01,Northern Ireland,Portugal,3,0,World Cup qualifier,Northern Ireland,False
1957-05-05,Austria,Sweden,1,0,Friendly,Austria,False
1957-05-05,Greece,Yugoslavia,0,0,World Cup qualifier,Greece,False
1957-05-08,Scotland,Spain,4,2,World Cup qualifier,Scotland,False
1957-05-08,England,Ireland,5,1,World Cup qualifier,England,False
1957-05-11,Singapore,Malaya,1,1,Friendly,Singapore,False
1957-05-12,Indonesia,China,2,0,World Cup qualifier,Indonesia,False
1957-05-12,Yugoslavia,Italy,6,1,International Cup,Yugoslavia,False
1957-05-15,Denmark,England,1,4,World Cup qualifier,Denmark,False
1957-05-18,Czechoslovakia,Yugoslavia,1,0,International Cup,Czechoslovakia,False
1957-05-19,Switzerland,Scotland,1,2,World Cup qualifier,Switzerland,False
1957-05-19,Ireland,England,1,1,World Cup qualifier,Ireland,False
1957-05-19,East Germany,Wales,2,1,World Cup qualifier,East Germany,False
1957-05-19,Poland,Turkey,0,1,Friendly,Poland,False
1957-05-22,West Germany,Scotland,1,3,Friendly,West Germany,False
1957-05-22,Norway,Bulgaria,1,2,World Cup qualifier,Norway,False
1957-05-23,Uruguay,Argentina,0,0,Newton Cup,Uruguay,False
1957-05-24,Syria,Sudan,1,1,World Cup qualifier,Syria,False
1957-05-26,Spain,Scotland,4,1,World Cup qualifier,Spain,False
1957-05-26,Czechoslovakia,Wales,2,0,World Cup qualifier,Czechoslovakia,False
1957-05-26,Austria,Netherlands,3,2,World Cup qualifier,Austria,False
1957-05-26,Belgium,Romania,1,0,Friendly,Belgium,False
1957-05-26,Portugal,Italy,3,0,World Cup qualifier,Portugal,False
1957-05-26,Denmark,Bulgaria,1,1,Friendly,Denmark,False
1957-05-31,Guadeloupe,Martinique,5,2,Friendly,Guadeloupe,False
1957-06-01,Soviet Union,Romania,1,1,Friendly,Soviet Union,False
1957-06-02,China,Indonesia,4,3,World Cup qualifier,China,False
1957-06-02,Tunisia,Libya,4,2,Friendly,Tunisia,False
1957-06-02,France,Iceland,8,0,World Cup qualifier,France,False
1957-06-05,Argentina,Uruguay,1,1,Lipton Cup,Argentina,False
1957-06-05,Belgium,Iceland,8,3,World Cup qualifier,Belgium,False
1957-06-06,Paraguay,Bolivia,5,2,Copa Paz del Chaco,Paraguay,False
1957-06-11,Brazil,Portugal,2,1,Friendly,Brazil,False
1957-06-12,Norway,Hungary,2,1,World Cup qualifier,Norway,False
1957-06-13,Paraguay,Bolivia,0,1,Copa Paz del Chaco,Paraguay,False
1957-06-16,Colombia,Uruguay,1,1,World Cup qualifier,Colombia,False
1957-06-16,Brazil,Portugal,3,0,Friendly,Brazil,False
1957-06-16,Sweden,Hungary,0,0,Friendly,Sweden,False
1957-06-16,Greece,Romania,1,2,World Cup qualifier,Greece,False
1957-06-16,Czechoslovakia,East Germany,3,1,World Cup qualifier,Czechoslovakia,False
1957-06-18,Norway,Sweden,0,0,Friendly tournament,Finland,True
1957-06-18,Finland,Denmark,2,0,Friendly tournament,Finland,False
